"","Body_type","number_of_seats","length_mm","curb_weight_kg","maximum_torque_n_m","injection_type","cylinder_layout","number_of_cylinders","compression_ratio","engine_type","valves_per_cylinder","boost_type","engine_placement","engine_hp","drive_wheels","number_of_gears","transmission","fuel_grade","Fuel_Economy"
"67678",8,"5","4771","1828","280",44,54,4,9,16,4,173,9,210,30,6,37,"95",8.6
"67679",8,"5","4771","1828","280",44,54,4,9,16,4,173,9,210,30,6,37,"95",8.6
"67697",10,"7","4789","1873","140",44,54,4,9,17,2,167,9,68,30,5,36,"diesel",8.4
"67699",10,"7","4789","1978","159",44,54,4,9,16,2,9,9,84,30,5,36,"92",11.4
"67700",10,"7","4789","1873","160",44,54,4,9,17,2,9,9,75,30,5,36,"diesel",9.5
"67703",10,"7","4789","1978","200",44,54,4,9,16,2,9,9,115,30,4,35,"92",13
"67706",10,"7","4789","1978","200",44,54,4,9,16,2,9,9,115,30,5,36,"92",12.2
"67707",10,"7","4789","1978","200",41,54,4,9,16,2,9,9,115,32,5,36,"92",12.6
"67708",10,"7","4789","1873","250",44,54,4,9,17,2,167,9,102,30,4,35,"diesel",8.2
"67709",10,"7","4789","1873","250",44,54,4,9,17,2,167,9,102,32,4,35,"diesel",10.6
"67710",10,"7","4789","1873","250",44,54,4,9,17,2,167,9,102,30,5,36,"diesel",7.9
"67711",10,"7","4789","1873","295",44,54,4,9,17,2,167,9,150,30,5,36,"diesel",6.3
"67712",10,"7","4789","1873","195",44,54,4,9,17,2,167,9,88,30,5,36,"diesel",8.3
"67713",10,"7","4789","1873","250",44,54,4,9,17,2,167,9,102,32,5,36,"diesel",10.3
"67718",10,"7","4789","1978","240",41,53,4,9,16,2,9,9,140,30,5,35,"92",14.2
"67719",10,"7","4789","1978","245",41,53,4,9,16,2,9,9,204,30,4,35,"92",13
"67720",10,"7","4789","1978","240",41,53,4,9,16,2,9,9,140,30,5,36,"92",13.9
"67721",10,"6","4890","Other","133",42,54,4,9,17,2,167,9,68,30,5,36,"diesel",8.4
"67722",10,"6","4890","Other","133",42,54,4,9,17,2,167,9,84,30,5,36,"diesel",8.4
"67723",10,"6","4890","2125","250",42,54,4,9,17,2,167,9,105,30,5,36,"diesel",7.7
"67724",10,"6","4890","2099","250",45,54,4,9,17,2,167,9,105,30,5,36,"diesel",7.7
"67725",10,"6","4890","Other","170",42,54,4,9,16,4,9,9,115,30,5,36,"95",10.5
"67726",10,"6","4890","Other","160",42,54,5,9,17,2,9,9,75,30,5,36,"diesel",9.5
"67727",10,"6","4890","Other","340",44,54,5,9,17,4,167,9,130,30,6,35,"diesel",9.3
"67728",10,"6","4890","Other","400",44,54,5,9,17,4,167,9,174,30,5,35,"diesel",9
"67729",10,"6","4890","Other","340",44,54,5,9,17,4,167,9,130,30,5,36,"diesel",8.5
"67730",10,"6","4890","Other","400",44,54,5,9,17,4,167,9,174,30,5,36,"diesel",8.3
"67731",10,"6","4890","2200","340",44,54,5,9,17,4,167,9,130,31,6,36,"diesel",8
"67732",10,"6","4890","2200","400",44,54,5,9,17,4,167,9,174,31,5,36,"diesel",8
"67733",10,"6","4890","Other","270",44,53,6,9,16,2,167,9,204,30,5,36,"95",13
"67734",10,"6","4890","2225","315",44,53,6,9,16,4,167,9,235,30,6,36,"95",13.3
"67735",10,"5","4892","2181","400",45,54,4,9,17,4,169,9,180,30,7,37,"diesel",8.1
"67736",10,"5","4892","2284","400",45,54,4,9,17,4,169,9,180,32,7,37,"diesel",8.8
"67737",10,"5","4892","2169","400",45,54,4,9,17,4,169,9,180,30,6,36,"diesel",7.8
"67738",10,"5","4892","2271","400",45,54,4,9,17,4,169,9,180,32,6,36,"diesel",8.4
"67739",10,"5","4890","1999","170",44,54,4,9,16,4,9,9,116,30,7,37,"95",10.4
"67740",10,"5","4890","1999","170",44,54,4,9,16,4,9,9,116,32,7,37,"95",10.4
"67741",10,"5","4890","1999","170",44,54,4,9,16,4,9,9,116,30,6,36,"95",10.4
"67742",10,"5","4892","1999","170",41,54,4,9,16,4,9,9,115,30,5,36,"95",10.4
"67743",10,"5","4892","2079","340",45,54,4,9,17,4,167,9,140,30,7,37,"diesel",8
"67744",10,"5","4892","2032","250",45,54,4,9,17,4,167,9,102,30,5,36,"diesel",7.3
"67745",10,"5","4892","2067","340",45,54,4,9,17,4,167,9,140,30,6,36,"diesel",7.5
"67746",10,"5","4892","2032","220",45,54,4,9,17,4,167,9,84,30,5,36,"diesel",7.3
"67747",10,"5","4892","2187","340",45,54,4,9,17,4,167,9,140,32,6,36,"diesel",8.3
"67748",10,"5","4892","2161","350",44,54,4,9,16,4,167,9,204,30,7,37,"95",10.1
"67749",10,"5","4892","2161","350",44,54,4,9,16,4,167,9,204,32,7,37,"95",10.1
