"","left daughter","right daughter","split var","split point","status","prediction"
"3489",4080,4081,"stroke_cycle_mm",19.75,-3,9
"3490",4082,4083,"number_of_seats",0,-3,9
"3491",0,0,NA,0,-1,9
"3492",4084,4085,"X",13278,-3,9
"3493",0,0,NA,0,-1,9
"3494",4086,4087,"mixed_fuel_consumption_per_100_km_l",21.95,-3,9
"3495",0,0,NA,0,-1,9
"3496",4088,4089,"number_of_seats",11308,-3,9
"3497",4090,4091,"length_mm",4.5,-3,9
"3498",0,0,NA,0,-1,9
"3499",4092,4093,"fuel_tank_capacity_l",7.5,-3,9
"3500",0,0,NA,0,-1,9
"3501",4094,4095,"highway_fuel_per_100km_l",18.25,-3,9
"3502",4096,4097,"engine_hp",0,-3,9
"3503",4098,4099,"city_fuel_per_100km_l",0,-3,9
"3504",0,0,NA,0,-1,9
"3505",4100,4101,"cylinder_bore_mm",0,-3,9
"3506",0,0,NA,0,-1,8.98648285739862
"3507",0,0,NA,0,-1,8.98648285739862
"3508",0,0,NA,0,-1,8.98648285739862
"3509",4102,4103,"capacity_cm3",6.5,-3,8.98648285739862
"3510",0,0,NA,0,-1,8.98648285739862
"3511",0,0,NA,0,-1,8.98648285739862
"3512",4104,4105,"engine_hp_rpm",4.5,-3,8.98648285739862
"3513",4106,4107,"engine_hp",0,-3,8.98648285739862
"3514",4108,4109,"engine_hp",0,-3,9
"3515",4110,4111,"mixed_fuel_consumption_per_100_km_l",11.05,-3,9
"3516",4112,4113,"cylinder_bore_mm",108.5,-3,9
"3517",0,0,NA,0,-1,9
"3518",0,0,NA,0,-1,8.98648285739862
"3519",4114,4115,"width_mm",1.03972359481161,-3,8.98648285739862
"3520",0,0,NA,0,-1,8.98648285739862
"3521",4116,4117,"X",17867.5,-3,8.98648285739862
"3522",0,0,NA,0,-1,9
"3523",4118,4119,"fuel_tank_capacity_l",3,-3,9
"3524",4120,4121,"curb_weight_kg",0,-3,9
"3525",0,0,NA,0,-1,9
"3526",0,0,NA,0,-1,9
"3527",0,0,NA,0,-1,9
"3528",4122,4123,"turnover_of_maximum_torque_rpm",50077.5,-3,9
"3529",4124,4125,"Year_from",1972,-3,9
"3530",4126,4127,"stroke_cycle_mm",73.5,-3,9
"3531",4128,4129,"maximum_torque_n_m",1974.5,-3,9
"3532",0,0,NA,0,-1,8.98648285739862
"3533",0,0,NA,0,-1,8.98648285739862
"3534",4130,4131,"X",57425.5,-3,8.98648285739862
"3535",0,0,NA,0,-1,8.98648285739862
"3536",4132,4133,"height_mm",1.00457458307597,-3,8.98648285739862
"3537",0,0,NA,0,-1,8.98648285739862
"3538",0,0,NA,0,-1,9
"3539",0,0,NA,0,-1,9
"3540",0,0,NA,0,-1,8.98648285739862
"3541",0,0,NA,0,-1,9
"3542",0,0,NA,0,-1,8.98648285739862
"3543",4134,4135,"mixed_fuel_consumption_per_100_km_l",8.84918203755123,-3,9
"3544",0,0,NA,0,-1,9
"3545",4136,4137,"Year_from",1993.5,-3,9
"3546",0,0,NA,0,-1,9
"3547",4138,4139,"fuel_tank_capacity_l",0,-3,9
"3548",0,0,NA,0,-1,8.99662071434966
"3549",4140,4141,"Year_from",1980,-3,8.98841387777025
"3550",4142,4143,"valves_per_cylinder",3.5,-3,9
"3551",0,0,NA,0,-1,8.99324142869931
"3552",4144,4145,"length_mm",15730,-3,8.98648285739862
"3553",0,0,NA,0,-1,8.98648285739862
"3554",4146,4147,"mixed_fuel_consumption_per_100_km_l",0,-3,9
"3555",4148,4149,"Year_from",1980,-3,8.98856241779883
"3556",4150,4151,"highway_fuel_per_100km_l",10.25,-3,8.98648285739862
"3557",4152,4153,"stroke_cycle_mm",91,-3,8.99964561798423
"3558",0,0,NA,0,-1,9
"3559",4154,4155,"Year_from",1991.5,-3,9
"3560",0,0,NA,0,-1,9
"3561",4156,4157,"mixed_fuel_consumption_per_100_km_l",12.0991820375512,-3,8.98648285739862
"3562",4158,4159,"city_fuel_per_100km_l",12.2967804768641,-3,8.98648285739862
"3563",0,0,NA,0,-1,8.98648285739862
"3564",4160,4161,"capacity_cm3",18699,-3,9
"3565",4162,4163,"Year_from",1986.5,-3,8.99324142869931
"3566",4164,4165,"acceleration_0_100_km.h_s",8.1,-3,9
"3567",4166,4167,"X",20536.5,-3,9
"3568",0,0,NA,0,-1,8.98648285739862
"3569",4168,4169,"valves_per_cylinder",3,-3,9
"3570",4170,4171,"engine_hp_rpm",7.5,-3,9
"3571",0,0,NA,0,-1,8.98648285739862
"3572",0,0,NA,0,-1,9
"3573",4172,4173,"Year_from",1991.5,-3,8.98648285739862
"3574",4174,4175,"number_of_gears",4.5,-3,9
"3575",4176,4177,"number_of_gears",4.5,-3,8.99864828573986
"3576",4178,4179,"X",0,-3,9
"3577",0,0,NA,0,-1,8.98648285739862
"3578",0,0,NA,0,-1,8.98648285739862
"3579",0,0,NA,0,-1,8.99324142869931
"3580",0,0,NA,0,-1,8.98648285739862
"3581",4180,4181,"engine_hp",85.5,-3,9
"3582",0,0,NA,0,-1,9
"3583",4182,4183,"cylinder_bore_mm",0,-3,9
"3584",4184,4185,"acceleration_0_100_km.h_s",11.3,-3,9
"3585",4186,4187,"engine_hp",74,-3,8.9922759185135
"3586",4188,4189,"number_of_seats",4.5,-3,8.98648285739862
"3587",0,0,NA,0,-1,8.98648285739862
"3588",4190,4191,"cylinder_bore_mm",78,-3,9
"3589",4192,4193,"mixed_fuel_consumption_per_100_km_l",7.25,-3,8.99459314295945
"3590",4194,4195,"turnover_of_maximum_torque_rpm",3.5,-3,8.99792980698898
"3591",4196,4197,"stroke_cycle_mm",73.5,-3,8.99988397302488
"3592",4198,4199,"engine_hp_rpm",5.5,-3,8.98832610411699
"3593",4200,4201,"cylinder_bore_mm",86.5,-3,9
"3594",0,0,NA,0,-1,9
"3595",4202,4203,"valves_per_cylinder",0,-3,9
"3596",4204,4205,"fuel_tank_capacity_l",8.3,-3,9
"3597",0,0,NA,0,-1,9
"3598",0,0,NA,0,-1,9
"3599",0,0,NA,0,-1,9
"3600",0,0,NA,0,-1,9
"3601",0,0,NA,0,-1,9
"3602",0,0,NA,0,-1,8.99324142869931
"3603",4206,4207,"Year_from",1989.5,-3,9
"3604",4208,4209,"city_fuel_per_100km_l",8.95,-3,8.99986346320605
"3605",4210,4211,"engine_hp",119,-3,9
"3606",4212,4213,"acceleration_0_100_km.h_s",10.8,-3,8.99806897962837
"3607",4214,4215,"X",27461.5,-3,8.99967270841159
"3608",4216,4217,"fuel_tank_capacity_l",6.5,-3,8.98752263759873
"3609",4218,4219,"X",47931.5,-3,8.99853868728634
"3610",4220,4221,"turnover_of_maximum_torque_rpm",2.5,-3,8.98783457165876
"3611",4222,4223,"engine_hp",108.5,-3,9
"3612",4224,4225,"X",68659.5,-3,8.99811786622006
"3613",4226,4227,"fuel_tank_capacity_l",5.8491627506784,-3,8.9998463961068
"3614",4228,4229,"X",69705.5,-3,9
"3615",4230,4231,"cylinder_bore_mm",82.5,-3,8.98986214304897
"3616",0,0,NA,0,-1,9
"3617",4232,4233,"capacity_cm3",40993.5,-3,9
"3618",4234,4235,"turnover_of_maximum_torque_rpm",2.5,-3,9
"3619",4236,4237,"stroke_cycle_mm",6.5,-3,9
