"","left daughter","right daughter","split var","split point","status","prediction"
"2889",3452,3453,"Year_from",1995.5,-3,9
"2890",0,0,NA,0,-1,9
"2891",0,0,NA,0,-1,9
"2892",0,0,NA,0,-1,9
"2893",0,0,NA,0,-1,9
"2894",0,0,NA,0,-1,9
"2895",3454,3455,"engine_hp_rpm",0,-3,9
"2896",0,0,NA,0,-1,8.98648285739862
"2897",3456,3457,"mixed_fuel_consumption_per_100_km_l",10.45,-3,9
"2898",0,0,NA,0,-1,9
"2899",0,0,NA,0,-1,9
"2900",3458,3459,"turnover_of_maximum_torque_rpm",0,-3,9
"2901",0,0,NA,0,-1,9
"2902",3460,3461,"highway_fuel_per_100km_l",10.95,-3,8.98648285739862
"2903",0,0,NA,0,-1,8.98648285739862
"2904",3462,3463,"length_mm",0,-3,9
"2905",3464,3465,"cylinder_bore_mm",0,-3,9
"2906",3466,3467,"acceleration_0_100_km.h_s",0,-3,9
"2907",0,0,NA,0,-1,9
"2908",0,0,NA,0,-1,9
"2909",0,0,NA,0,-1,9
"2910",0,0,NA,0,-1,8.98648285739862
"2911",0,0,NA,0,-1,8.98648285739862
"2912",0,0,NA,0,-1,8.98648285739862
"2913",0,0,NA,0,-1,8.98648285739862
"2914",0,0,NA,0,-1,9
"2915",0,0,NA,0,-1,9
"2916",3468,3469,"X",8094.5,-3,9
"2917",0,0,NA,0,-1,9
"2918",0,0,NA,0,-1,9
"2919",3470,3471,"city_fuel_per_100km_l",20.65,-3,9
"2920",0,0,NA,0,-1,9
"2921",3472,3473,"cylinder_bore_mm",97.5,-3,9
"2922",0,0,NA,0,-1,9
"2923",0,0,NA,0,-1,9
"2924",3474,3475,"X",451.5,-3,9
"2925",0,0,NA,0,-1,8.98648285739862
"2926",0,0,NA,0,-1,9
"2927",0,0,NA,0,-1,9
"2928",0,0,NA,0,-1,9
"2929",3476,3477,"highway_fuel_per_100km_l",0,-3,9
"2930",0,0,NA,0,-1,9
"2931",3478,3479,"mixed_fuel_consumption_per_100_km_l",7.6,-3,9
"2932",0,0,NA,0,-1,9
"2933",3480,3481,"X",10553.5,-3,9
"2934",0,0,NA,0,-1,9
"2935",3482,3483,"city_fuel_per_100km_l",0,-3,9
"2936",3484,3485,"acceleration_0_100_km.h_s",9.1,-3,9
"2937",0,0,NA,0,-1,9
"2938",0,0,NA,0,-1,9
"2939",0,0,NA,0,-1,9
"2940",3486,3487,"number_of_cylinders",5,-3,9
"2941",0,0,NA,0,-1,9
"2942",3488,3489,"engine_hp",130.5,-3,9
"2943",3490,3491,"city_fuel_per_100km_l",12.1967804768641,-3,9
